group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,70,2,6,13,1,0,1,1,0,0,1,1,1,1,0,1,1,-9,-9,-9
1,539,1,5,13,1,1,1,1,1,1,0,0,1,-9,-9,-9,-9,-9,-9,-9
1,10,2,6,14,1,1,1,1,1,1,1,0,1,0,1,0,1,-9,0,-9
1,296,1,6,14,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,316,2,6,15,1,1,1,1,1,1,1,0,1,0,-9,0,-9,0,-9,-9
1,835,2,4,13,1,-9,1,1,0,1,1,1,1,1,-9,0,0,-9,-9,-9
1,401,2,6,16,1,0,1,1,-9,1,1,1,1,0,0,0,0,-9,-9,-9
1,13,1,6,14,1,1,1,1,1,1,1,1,1,1,0,1,-9,0,1,-9
1,245,1,6,14,1,1,1,1,1,1,1,1,1,1,0,-9,0,-9,-9,-9
1,138,2,6,14,1,1,1,1,1,1,1,0,1,0,-9,0,0,-9,-9,-9
1,5,2,6,13,1,1,1,1,1,1,0,1,1,0,0,0,-9,-9,-9,-9
1,51,2,6,13,1,0,1,1,0,1,1,0,1,0,-9,-9,-9,-9,-9,-9
1,56,2,6,13,1,1,1,1,1,1,1,1,1,0,0,0,1,-9,0,-9
1,106,1,6,13,1,1,1,1,1,1,1,0,1,1,1,-9,1,-9,-9,-9
1,309,2,6,15,1,1,1,1,0,1,1,1,1,-9,1,1,1,1,-9,-9
1,267,1,6,14,1,1,1,1,1,1,1,0,1,-9,1,0,0,0,-9,-9
1,161,2,6,14,1,1,1,1,1,1,1,1,1,1,1,1,-9,1,-9,-9
1,281,2,6,14,1,1,1,1,1,1,1,0,1,1,1,0,1,-9,0,-9
1,57,1,6,13,1,1,1,1,1,1,1,0,1,0,-9,-9,-9,-9,-9,-9
1,113,2,6,13,1,1,1,1,1,1,1,1,1,0,0,0,0,-9,-9,-9
1,163,2,6,14,1,1,1,1,1,1,1,1,1,-9,1,-9,1,-9,0,-9
1,577,1,5,14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-9
1,178,2,6,14,1,1,1,1,1,1,1,1,1,-9,1,1,1,1,0,-9
1,295,1,6,14,1,1,1,1,1,1,1,1,1,0,1,0,-9,0,-9,0
1,129,2,6,14,1,1,1,1,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,159,2,6,14,1,1,1,1,1,1,1,1,1,-9,-9,0,-9,-9,-9,-9
1,442,1,5,12,1,1,1,1,-9,0,1,1,1,1,1,0,1,-9,-9,-9
1,233,1,6,14,1,1,1,1,0,1,1,1,1,1,0,0,-9,1,1,-9
1,109,2,6,13,1,1,1,1,1,1,1,1,1,1,-9,-9,0,-9,-9,-9
1,209,2,6,14,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
1,77,2,6,13,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-9
1,119,2,6,13,1,1,1,1,1,1,-9,0,1,1,0,0,0,0,-9,0
